,country,region,gdp,school,adfert,chldmort,life,pop,urban,femlab,literacy,co2,gini
1,Algeria,Africa,7300.39990234375,6.71666669845581,7.30000019073486,34.75,72.3166656494141,34172236,64.9333343505859,0.452199995517731,72.5999984741211,15,NA
2,Benin,Africa,1338.80004882812,3.09999990463257,111.699996948242,122.75,54.7333335876465,8237634,41,0.848200023174286,41.7000007629395,1.20000004768372,NA
3,Botswana,Africa,12307.400390625,8.60000038146973,52.0999984741211,60.25,52.25,1941233,59.25,0.887000024318695,84.0999984741211,9.19999980926514,NA
4,Burkina Faso,Africa,1063.40002441406,1.29999995231628,124.800003051758,170.5,53.783332824707,15308383,23.5833339691162,0.858399987220764,23.6000003814697,0.200000002980232,NA
5,Burundi,Africa,349.200012207031,2.48333334922791,18.6000003814697,168.5,48.8666648864746,7821783,10.25,1.03439998626709,66.5999984741211,0.100000001490116,33.2999992370605
6,Cameroon,Africa,1986.80004882812,5.65000009536743,127.800003051758,155,50.1166648864746,18564118,56.3666648864746,0.653199970722198,NA,0.75,NA
7,Cape Verde,Africa,3052.19995117188,3.5,81.5999984741211,30,73.3333358764648,484867,59.283332824707,0.635800004005432,84.8000030517578,2.15000009536743,NA
8,Central African Rep,Africa,677,3.38333344459534,106.599998474121,173.5,45.9333343505859,4203917,38.466667175293,0.822200000286102,55.2000007629395,0.200000002980232,NA
9,Chad,Africa,1266.19995117188,1.5,164.5,209,48.5666656494141,10509983,26.3999996185303,0.800599992275238,33.5999984741211,0.100000001490116,NA
10,Comoros,Africa,1099,2.79999995231628,58,105.75,59.783332824707,688300,28,0.855399966239929,74.1999969482422,0.400000005960464,NA
11,Congo,Africa,3628,5.85000038146973,118.699996948242,125.75,56.0166664123535,3785517,61.1333312988281,0.754400014877319,NA,1.54999995231628,47.2999992370605
12,Congo (Dem Rep),Africa,279.799987792969,3.41666674613953,201.399993896484,199,47.5166664123535,61654348,33.6333312988281,0.655200004577637,66.8000030517578,0.100000001490116,44.4000015258789
13,C�te d'Ivoire,Africa,1539.19995117188,3.20000004768372,129.399993896484,123.25,53.0499992370605,18844750,48.6666641235352,0.613200008869171,55.2999992370605,1.45000004768372,46.0999984741211
14,Djibouti,Africa,1972.19995117188,3.79999995231628,22.8999996185303,96,56.5999984741211,848000,76.0999984741211,0.763599991798401,NA,2.20000004768372,NA
15,Egypt,Africa,4754.39990234375,5.94999980926514,46.5999984741211,24.75,72.3333358764648,77645648,43.1833343505859,0.30919998884201,68.9000015258789,8.44999980926514,32.0999984741211
16,Equatorial Guinea,Africa,27645.80078125,5.40000009536743,122.900001525879,149.5,50.0666656494141,653533,39.2666664123535,0.414000004529953,93.3000030517578,32.5500030517578,NA
17,Eritrea,Africa,579.599975585938,3.40000009536743,66.5999984741211,60.5,60.0166664123535,4871634,20.4500007629395,0.725199997425079,66.5999984741211,0.5,NA
18,Ethiopia,Africa,741.400024414062,1.5,72.4000015258789,112,57.0499992370605,78593232,16.283332824707,0.870000004768372,29.7999992370605,0.300000011920929,29.7999992370605
19,Gabon,Africa,13183.2001953125,7.18333339691162,89.9000015258789,72.5,61.1500015258789,1437467,84.8833312988281,0.840399980545044,87.6999969482422,5.55000019073486,41.5
20,Gambia,Africa,1218.40002441406,2.54999995231628,76.5999984741211,108.25,57.3666687011719,1614767,56.0499992370605,0.826399981975555,46.5,0.699999988079071,NA
21,Ghana,Africa,1303,6.78333330154419,71.0999984741211,75.25,62.5166664123535,23000534,49.6333312988281,0.976999998092651,66.5999984741211,1.35000002384186,42.7999992370605
22,Guinea,Africa,957.599975585938,1.60000002384186,157.399993896484,149.5,52.4166679382324,9486467,34.1666679382324,0.884999990463257,39.5,0.550000011920929,39.4000015258789
23,Guinea-Bissau,Africa,967.599975585938,2.29999995231628,111.099998474121,197.5,46.8666687011719,1440083,29.7666664123535,0.711400032043457,52.2000007629395,0.600000023841858,NA
24,Kenya,Africa,1405.40002441406,6.75,100.199996948242,87.75,54.8166656494141,38011832,21.4500007629395,0.862599968910217,87,1.15000009536743,47.7000007629395
25,Lesotho,Africa,1284.40002441406,5.58333349227905,73.5,98.25,45.8499984741211,2117567,25.0666656494141,0.898999989032745,89.6999969482422,NA,NA
26,Liberia,Africa,345,3.65000009536743,142.600006103516,125.5,54.2333335876465,3576984,46.9166679382324,0.874599993228912,59.0999984741211,0.800000011920929,52.5999984741211
27,Libya,Africa,14497.7998046875,6.81666660308838,3.20000004768372,19.75,74.0166625976562,6075651,77.4333343505859,0.309599995613098,88.9000015258789,33.8499984741211,NA
28,Madagascar,Africa,919.799987792969,5.19999980926514,134.300003051758,64.5,65.4833374023438,19279600,29.3166656494141,0.946600019931793,64.5,0.550000011920929,47.2000007629395
29,Malawi,Africa,660.400024414062,3.81666660308838,119.199996948242,120.25,51.3166656494141,13825916,18.5499992370605,0.951999962329865,73.6999969482422,0.300000011920929,NA
